,date,open,high,low,close,volume,body,bodyVar,sumVar,green,red,c1,c2,signal,position,buy,sell
0,2019-10-25,7926.6001,8033.29,7926.6001,8029.2202,1911580000,102.6201000000001,,,,,False,False,,,0,0
1,2019-10-28,8071.3901,8119.73,8070.8999,8110.6699,1959920000,39.27980000000025,-63.34029999999984,,,,False,False,,,0,0
2,2019-10-29,8101.5498,8108.6099,8045.6401,8047.5098,1842720000,-54.039999999999964,-93.31980000000021,,,,False,False,,,0,0
3,2019-10-30,8056.8999,8096.3301,8017.9199,8083.1099,1936060000,26.210000000000036,80.25,,,,False,False,,,0,0
4,2019-10-31,8100.6201,8110.4399,8041.6499,8083.8301,2276140000,-16.789999999999964,-43.0,,,,False,False,,,0,0
5,2019-11-01,8121.9502,8161.98,8111.73,8161.1699,2071350000,39.21969999999965,56.00969999999961,,,,False,False,,,0,0
6,2019-11-04,8218.9297,8228.3301,8197.3203,8210.6602,2166830000,-8.269500000000335,-47.48919999999998,,,,False,False,,,0,0
7,2019-11-05,8225.3496,8229.0898,8191.0498,8210.1797,2327420000,-15.169899999998961,-6.900399999998626,,,,False,False,,,0,0
8,2019-11-06,8204.3398,8204.3398,8157.3599,8196.0303,2342570000,-8.309499999999389,6.860399999999572,,,,False,False,,,0,0
9,2019-11-07,8237.6797,8271.8203,8198.9102,8219.6504,2403680000,-18.02930000000015,-9.71980000000076,,,,False,False,,,0,0
10,2019-11-08,8208.3701,8256.29,8186.3101,8255.8896,1982140000,47.519500000000335,65.54880000000048,,,,False,False,,,0,0
11,2019-11-11,8212.3701,8245.8896,8202.3604,8241.9102,1719300000,29.540100000000166,-17.97940000000017,,,,False,False,,,0,0
12,2019-11-12,8249.6201,8293.1797,8238.3301,8263.79,2001440000,14.16990000000078,-15.370199999999386,,,,False,False,,,0,0
13,2019-11-13,8235.6797,8274.6104,8233.3799,8259.8096,2180010000,24.129899999999907,9.959999999999127,,,,False,False,,,0,0
14,2019-11-14,8238.8496,8264.9404,8212.5898,8257.8301,2113840000,18.980499999999665,-5.149400000000242,,,,False,False,,,0,0
15,2019-11-15,8303.8398,8315.9004,8284.2002,8315.5195,2199480000,11.679700000000594,-7.300799999999072,,,,False,False,,,0,0
16,2019-11-18,8303.2197,8340.4102,8274.6797,8328.4805,2053260000,25.260800000000017,13.581099999999424,,,,False,False,,,0,0
17,2019-11-19,8357.4297,8357.7998,8308.2803,8338.7402,2094030000,-18.689500000000407,-43.950300000000425,,,,False,False,,,0,0
18,2019-11-20,8315.5498,8339.2598,8226.25,8283.75,2608780000,-31.799800000000687,-13.11030000000028,,,,False,False,,,0,0
19,2019-11-21,8273.9502,8282.3301,8242.2197,8265.6201,2073720000,-8.33009999999922,23.469700000001467,,,,False,False,,,0,0
20,2019-11-22,8287.25,8292.1104,8229.4902,8272.0498,1885730000,-15.200199999999313,-6.870100000000093,,,,False,False,,,0,0
